,estimate
موضوعات میں اضافہ : 1،122,6.100363394219132e-13
"""وہاں """" پیغام بھیجنا """" والی ترجیحات میں ایک یہ ہے""",4.208466538339374e-27
اب اپنا تعارف بھی مکمل کرا دو تو کیا بات ہے,4.208466538339374e-27
جلد از جلد ایک کلو بطور تحفہ ارسال فرما دیں,9.303608385382194e-25
لوگ تیرے راج میں,1.5325003319145408e-10
شکریہ شمشاد بھائی پہلے بھی اتفاق سے یہی دیکھ رہی تھی,4.208466538339374e-27
چوپٹ راج,1.2379419743730079e-05
تری دید کی آس رہی,6.100363394219132e-13
تو میں بتا رہی ہوں ناں بھیا,1.0788422720903528e-17
عبادات تو عروج پر ہو نگی مکہ و مدینہ میں آجکل,4.208466538339374e-27
کس طرح بار بار بیچا ہے,2.5295286488234307e-15
نہاری برنس روڈ کی بہت مشہور ہے,1.0788422720903528e-17
سوچا اب جو بچے ہیں اس ڈبے میں وہ تم لوگوں کے اس جشن کی خوشی میں ہی بانٹ دوں,4.3278564494278774e-48
کیسی لگی یہ تصویر,1.5325003319145408e-10
صحیح کہا یہ خواجہ عزیز الحسن مجذوب کا کلام ہے,9.303608385382194e-25
""""""" نہیں انہیں کتوں سے ہمیشہ نفرت رہی ہے """"""",9.303608385382194e-25
گیارہ نعرے جنھوں نے چین کو تبدیل کر دیا,2.0775130947644742e-22
مجھے ڈھونڈا تھا چاروں جانب,6.100363394219132e-13
انتہائی عمدہ,1.2379419743730079e-05
محترم ملنگ بھائی,4.106522169121895e-08
ملائیشیا کے جزائر,4.106522169121895e-08
میں نے کہا نہیں نہیں کچھ اور سوچ نا تو کسی کام کی بہن نہیں ہے,8.825153980596966e-39
اک غزل کافی نہیں ہے ان پہ لکھنے کے لیے,9.303608385382194e-25
اسکین صفحہ : 171 کتاب ص 65 ٹائپنگ مکمل از مقدس,4.208466538339374e-27
یہ تو نئی بات معلوم ہوئی,2.5295286488234307e-15
اور اکثر محفل میں ہوتا بھی ہوں تو بس مراسلات پسند کرتا رہتا ہوں,4.073652268171762e-34
عیسوی میں چین کو سوئی نے متحد کیا,4.697114534636355e-20
بھابی کی طرف سے وعلیکم اسلام,2.5295286488234307e-15
سے تک جمہوریہ پولینڈ پولش ہی پولش ریاست کا نام تھا,4.208466538339374e-27
اور یہ بھائی ابو حمزہ کا خاصہ ہے کہ رنگوں کو اس طرح استمعال کرتے ہیں کہ رنگ خود بول اٹھتے ہوں,9.74115483237776e-53
تاہم فارمولے کو سمجھنے کے لیے اپنا سوال مفصل انداز میں بیان کریں,8.816647866323124e-32
بتائیں بتائیں,1.2379419743730079e-05
جھوٹ اور سچ کا حسیں میزان,2.5295286488234307e-15
اپنی رضا کو اپنی اطاعت میں,2.5295286488234307e-15
باقی اس دھاگے پر اپنا مختصر سا تعارف لکھ دیں,9.303608385382194e-25
شیش محل,1.2379419743730079e-05
تب میری خدمات ختم ہو چکی ہونی,1.0788422720903528e-17
بھون کر کھا جاوں اور قصہ تمام,1.0788422720903528e-17
کفار کے مجمع نے یہ طے کیا تھا کہ اگر باہر کے لوگ کر یہی کہیں تو حضور کی سچائی میں کوئی شک نہیں,2.2108138150756243e-57
ویسے لگتا ہے آپ نے مبارک سر سے اتاری ہے,9.303608385382194e-25
ہم اتنی تنگی میں اس کو شراب کیا دیتے,2.0775130947644742e-22
گرگ آشتی,1.2379419743730079e-05
نعمان ، فروری 23 ، 2006,2.5295286488234307e-15
کہ یوں غم کی ہی دسترس میں رہوں میں,2.0775130947644742e-22
محترم و مکرم افتخار صاحب,6.100363394219132e-13
ماں نے کچھ سکھایا تو تھا مگر اب وہ سارے حروف تک یاداشت سے مٹ چکے تھے,4.132934239051387e-41
پانی کے دو گھونٹ چڑھا کر رقص کیا,4.697114534636355e-20
خوف و ہراس پھیل گیا مشرکین میں,1.0788422720903528e-17
مبارک ہو عاطف بھیا,1.5325003319145408e-10
شکریہ الف نظامی,4.106522169121895e-08
اچھا مجھے تو کافی مہنگا لگ رہا ہے,4.697114534636355e-20
باقی کل کہ اب میں تھک گئی ہوں میرا دماغ بھی ساتھ نہیں دے رہا,1.8918464009445433e-36
اس کمپنی کے حصص شیئر بھی اسٹاک ایکس,4.697114534636355e-20
اسی طرح سلاطین مولوی اسماعیل اور محمد بن عبدا کے دور حکومت میں مزار مبارک کی توسیع کے علاوہ بعض حصوں کو دوبارہ تعمیر کیا گیا,5.0526631739183935e-62
ہائے لگتا ہے مجھے سب بھول گئے ہیں,4.697114534636355e-20
وعدہ کرتا ہوں میں تم سے,2.5295286488234307e-15
بہت سے قبیلوں نے علاقہ چھوڑنا شروع کر دیا,2.0775130947644742e-22
مخالف ان کی الفت دیکھ کر بے حد بھڑکتے تھے,9.303608385382194e-25
سب کو اک روز وہ سلا دے گا,4.697114534636355e-20
گل نوخیز اختر نے,1.5325003319145408e-10
مصنف امانت علی گوہر,1.5325003319145408e-10
اسی لیے ہم گزارش کرتے ہیں کہ آپ اپنے معیار پر نظر ثانی کریں کیونکہ اس کی زد میں قرآنی آیات بھی آ رہی ہیں,1.056059882381019e-59
بے وفا رات بھر نہیں آتی,2.5295286488234307e-15
کیا کیا نہ خواب ہجر کے موسم میں کھو گئے,9.303608385382194e-25
بہت شکریہ ۔ ہم منتظر رہیں گے ۔,4.697114534636355e-20
ان خلیوں کی کمی اس مرض کا باعث ہوتی ہے,9.303608385382194e-25
رہے گی گونج ہماری توایک مدت تک,1.0788422720903528e-17
چیمپئنز ٹرافی کے لیے بھارتی ٹیم کا اعلان,4.697114534636355e-20
لگتا ہے آپ نے میڈم کا وہ والا گانا نہیں سنا,4.208466538339374e-27
لیکن مزیدار تھی یار عارف,6.100363394219132e-13
یونس عارف,1.2379419743730079e-05
بڑے بڑے عہدے اس طبقہ کے افراد سے پر کئے جاتے تھے,1.919554555565547e-29
اس سکینڈل میں سب سے زیادہ تنخواہ پانے والے عرفان قریشی کے بارے میں انٹرنیٹ پر تلاش کے نتیجے میں مندرجہ ذیل اقتباس ملا,2.2108138150756243e-57
اچھا پہلے ٹھیک تھے کیا,6.100363394219132e-13
میرا آج کا میز پوش سطح پوش,1.0788422720903528e-17
سحر طاری ہوئی ہے آپ کے ماتھے کی طلعت سے,9.303608385382194e-25
اور اس سے پہلے آٹھ سو اسی اور اس کے بعد آٹھ سو بیاسی بولا جاتا ہے,4.132934239051387e-41
کہ تین تین حصہ دار پہنچ گئے ہیں,4.697114534636355e-20
جب سے چمن چھٹا ہے یہ حال ہو گیا ہے,9.303608385382194e-25
اللہ اللہ رے پھولوں کا معطر سہرا,1.0788422720903528e-17
نرس : تم روزانہ صرف ایک روٹی کھایا کرو,2.0775130947644742e-22
صرف اتنے ہی نہیں اور بہی ہیں,1.0788422720903528e-17
حوالے کے لئے دیکھیں,1.5325003319145408e-10
صرف تمہارے لیئے سچ میں تم یاد ہو تو نقش ہو میرے حواس پر تم اشک ہو تو میرے دکھوں کا علاج ہو تم خواب ہو تو میری ان آنکھوں میں ہو کہیں تم ۔,7.017976840846439e-83
سارا ، اکتوبر 7 ، 2008,2.5295286488234307e-15
حساب کا جادو,4.106522169121895e-08
پاکستان آسٹریلیا سے جیت گیا مبارک ہو,1.0788422720903528e-17
مولوی نظیر احمد,4.106522169121895e-08
پلیز نیور مائنڈ مقدس ڈئیر,6.100363394219132e-13
فی الوقت تو ادی آئی ہے,2.5295286488234307e-15
ممتحن آج یہ پرچے بڑے دشوار سہی,1.0788422720903528e-17
لا جولیا لاطینی جمہوریہ ڈومینیکن کا ایک رہائشی علاقہ جو وفاقی ضلع جمہوریہ ڈومینیکن میں واقع ہے,4.132934239051387e-41
میرپورخاص سندھ,1.2379419743730079e-05
مجھے یاد آتا ہے مجھے ہر آواز سے نفرت ہے,9.303608385382194e-25
یہ اس وقت خواب خرگوش کے مزے لے رہی ہوتی ہے,4.208466538339374e-27
ماں کی دعا نصیب ہو تو بیڑا پار ہے,2.0775130947644742e-22
اس کے بعد بھی اڑتے رہے ہیں شاید آپ بھول رہے ہیں اور آج بھی اڑ رہے ہیں پر اب یہ والے نہیں دوسرے,2.2108138150756243e-57
آپ نے اپنی شاعری کا سفر غالبا سنہ میں شروع کیا,4.208466538339374e-27
اس آیت کا ترجمہ بعض لوگوں نے یہ کیا,2.0775130947644742e-22
کچھ نہ سمجھے خدا کرے کوئی غالب,1.0788422720903528e-17
باب نمبر 2 مانعین کے دلائل کا تجزیہ,4.697114534636355e-20
محبوب بھائی ہم ئے بھی بتائیں یہ کیسے کیا جاتا ہے,4.208466538339374e-27
عرفان سرور ، جنوری 16 ، 2013,1.0788422720903528e-17
ظالم تھا ۔,4.106522169121895e-08
ان کی پاکی کا خدائے پاک کرتا ہے بیاں,2.0775130947644742e-22
شیطان آپ کو یہ پیغام شئیر کرنے سے روکے گا,9.303608385382194e-25
اچھی شاعری کا یہ ہی کمال ہے,1.0788422720903528e-17
مرغیوں کا لیڈر,4.106522169121895e-08
اب یہ بھی بتا دیں کہ آپ ماہر کس چیز میں ہوئے ہیں تو کیا بات ہے,4.132934239051387e-41
پھر کیسا ہو گا,1.5325003319145408e-10
مغل صاحب شکریہ,4.106522169121895e-08
ہسپتال اور تہوار,4.106522169121895e-08
امام حسین جو کہ جنت کے تمام جوانوں کے سردار ہیں انھیں قصوروار اور یزید کو امیرالمومنین بنا دیں,9.155542854880783e-46
یہ فہرست زبان بلحاظ تعداد مقررین ہے,1.0788422720903528e-17
ضرورت و حاجت اور مواقع استعمال,2.5295286488234307e-15
کافی عرصہ پہلے سے میں بھی اس تھیم کے حصول کی خواہش کر چکا ہوں,1.8918464009445433e-36
وہ تو لمحوں کی پرستار بنی بیٹھی ہے,4.697114534636355e-20
قافلے پھر حرم کو جانے لگے,2.5295286488234307e-15
تاریخ مقام,1.2379419743730079e-05
مہینہ ہونے کو ہے نہ انہوں نے دیتی نہ ہم نے منگی,1.919554555565547e-29
محفل کے نام,4.106522169121895e-08
مارا ہے ایسا منہ پہ طمانچہ حسین نے,4.697114534636355e-20
ہاں ناں بھیا,4.106522169121895e-08
تلخ اتنی ہو کہ مشکل مجھے پینا ہو جائے ۔,9.303608385382194e-25
کسی کا انٹرویو کرنےمیں,1.5325003319145408e-10
ہمارا بھی پہلا روزہ ہے آج,2.5295286488234307e-15
ویسے یار,1.2379419743730079e-05
دیکھا دیکھا خرم ابھی میرا زین بھائی موجود ہے میری مدد کو بچ کے رہو ہاں,8.825153980596966e-39
تجھ سے کس درجہ محبت ھے مجھے,1.0788422720903528e-17
مومن خان مومن رحمتہ اللہ علیہ,2.5295286488234307e-15
ہر اک راز کا تو ہے امیں,1.0788422720903528e-17
اٹھ باندھ کمر کیا ڈرتا ہے,2.5295286488234307e-15
بی جمالو ہی ہی ہی ہی ہی,1.0788422720903528e-17
رات کی بات,4.106522169121895e-08
اس میں منزلیں بنائی گئی ہیں جن میں سے منزلیں زیر زمین ہیں,8.816647866323124e-32
سیراب علقمہ سے تو سارا عرب رہے,1.0788422720903528e-17
اس کے علاوہ اس پورے کمپلیکس میں بیک وقت افراد کے لئے نمائش وغیرہ کا انتظام بھی ہو سکتا ہے,4.3278564494278774e-48
مجنوں کو شہر میں نوکری کرنی پڑتی,1.0788422720903528e-17
ریحان نے کہا,4.106522169121895e-08
البتہ مقصد اصل کہانی والا ہی رکھا ہے,4.697114534636355e-20
وارداتیں بھی تو بہت ہو رہی ہیں,1.0788422720903528e-17
اس وقت موت ہمیں اپنے,6.100363394219132e-13
کرتے ہو داغ دور سے مئے خانے سلام,4.697114534636355e-20
اللہ آپ کو جلد صحت کاملہ عطا فرمائے آمین,2.0775130947644742e-22
راسخ کشمیری بھائی بہت بہت شکریہ آپ کی حوصلہ افزائی میری کئی مشکلات حل کرتی رہی ہے اور میں امید کرتا ہوں مزید بھی آپ میری حوصلہ افزائی کرتے رہیں گے,1.2925808358173066e-73
فلک شیر بھائی آپ کو بھی یونہی لگ رہا ہے کیا,4.208466538339374e-27
بھوجا ائیر,1.2379419743730079e-05
کبھی جا کہ مٹا,1.5325003319145408e-10
یہ تو بالکل پھیکے پٹ کباب بنیں گے,4.697114534636355e-20
مالی دنیا کے غریب ترین ممالک میں سے ایک ہے,9.303608385382194e-25
میں خود کو نہیں دیکھتی اوروں کی نظر سے,2.0775130947644742e-22
ارے مجھے بھی جلدی نہیں اوپر جانے کی ویسے میں سمجھتی ہوں کہ زندگی تو نام سے چلنے کا ھے,4.3278564494278774e-48
جوتے پہننا,1.2379419743730079e-05
جی آن لائن کردوں گی لیکن 1 - 2 سال میں کافی موٹی کتاب ہے,1.8918464009445433e-36
اول اول کا عشق بھی یاد ہے فراز,4.697114534636355e-20
اس سلسلہ میں عربی جاننے والے دوستوں سے درخواست ہے کہ اگر ان کے علم میں ایسی فہرست ہے جس میں عربی کے تمام الفاظ درج ہوں تو ازراہ کرم یہاں شئیر کریں تاکہ ساتھ ساتھ عربی ۔,7.963276671917156e-90
یہ لنک دیکھنا,4.106522169121895e-08
"""حضرت """" تاکہ تمھیں اندھیروں سے نکال کر روشنی میں لے آئے اور وہ اللہ مومنوں پر بڑھ کر رحم کرنے والا ہے """"""",2.2108138150756243e-57
اور میں جانتا ہوں,1.5325003319145408e-10
ہمارے ادھر پشاور میں ان کے چچا زاد اسماعیلی ہوتے ہیں وہ بھی بہت دھیمے اور میٹھے لوگ ہوتے ہیں,4.3278564494278774e-48
ہونے سے پہلے سے یہ مسئلہ چلا آرہا تھا حضور یا قرآن نے غلام اور باندی بنانے کا حکم نہیں دیا بلکہ اہل کتاب ہی نے یہ نظام,1.1616249961386989e-66
جانے کیوں لوگ آجکل سارے,6.100363394219132e-13
بھائی نبیل صاحب,4.106522169121895e-08
اللہ بہترین انصاف کرنے والا ہے,2.5295286488234307e-15
یہی وقت ہے,4.106522169121895e-08
کہیں پہ رنگ جما دیجئے کہیں چلئے,1.0788422720903528e-17
زبیر مرزا ، جولائی 28 ، 2013,1.0788422720903528e-17
محبت مسلمان سے,4.106522169121895e-08
آپ نے تو انا کے خلاف بات کر دی,2.0775130947644742e-22
جب میں نے پوچھا کہ بھائی کرے گا کون تو وہ چپ ہو رہے,4.073652268171762e-34
57 تحفہ اثنا عشریہ,1.5325003319145408e-10
یہ ملائکہ کہاں رہ گئی ہے,2.5295286488234307e-15
اس دل میں بسانا ہے,6.100363394219132e-13
وگر نہ دل تو اسے روکنا ہی چاہتا ہے,2.0775130947644742e-22
صد ہزار باتیں تھیں,1.5325003319145408e-10
مامور اداری پیغام,4.106522169121895e-08
بڑی کرکے کہاں,4.106522169121895e-08
کیونکہ ابھی اس پانی کا کنٹرول لوکل گورنمنٹ کو نہیں دیا گیا,1.919554555565547e-29
دفع ہو رات ہمارا تو یار ہے سورج,4.697114534636355e-20
رتبہ سے تنزل کرے تو ظل ہما ہو,4.697114534636355e-20
میرے مزاج تو آج ٹھکانے لگنے والے ہیں,4.697114534636355e-20
اور باقی اس بات کی بھی خواہش تھی کہ کچھ نام بن جائے کہ ہم بھی کچھ مثبت کام میں حصے دار ہیں,4.63628829243993e-55
السلام علیکم حاضرین کیسے مزاج ہیں,2.5295286488234307e-15
اسلام کے دامن میں بس دو ھی تو چیزیں ہیں,9.303608385382194e-25
وہ خوب جانتا ہے میرا سوال کیا ہے,4.697114534636355e-20
لہذا ننھی منی کہہ لیں بھائی جان,1.0788422720903528e-17
مغل بھائی سے ابھی بات ہوئی تھی میری کافی بہتر ہیں اب,1.919554555565547e-29
34 : مسئلہ حجاب کی ابتدا,2.5295286488234307e-15
جس میں صنعت گری کی سبھی خوبیاں اور نازک سی تصویر کا دائرہ,8.816647866323124e-32
بھیا پلیز,1.2379419743730079e-05
ایک لمحے کو مجھے اپنا زمانہ دے دے,4.697114534636355e-20
شمشاد ، جولائی 23 ، 2006,2.5295286488234307e-15
یا دل کی کہو لگی ہماری,2.5295286488234307e-15
بھائی ہم کیسی سے کم ہے کیا لیکن آپ سے تو کم ہی ہیں,4.073652268171762e-34
بہہ گیا پھر میں اپنے ریلے میں,1.0788422720903528e-17
میرا موڈ تو بہت زیادہ خراب ہے,1.0788422720903528e-17
اپنے خسر عبداللہ قطب کے انتقال کے بعد گولکنڈہ کے تخت پر بیٹھا,8.816647866323124e-32
گھر کا آنگن حسین خوشیوں سے مہک جائے گا,2.0775130947644742e-22
میرا بہت سا کلام محفل میں موجود ہے حضور جن کے روابط یہ درج زیل ہیں,8.825153980596966e-39
وہ جو کوئی بھی تھا,6.100363394219132e-13
دوست کے بلاگ سے آخری تحریر ہے ۔ جرم,2.0775130947644742e-22
جان پر آ بنی حواس ہیں گم,1.0788422720903528e-17
اس کھیل میں دونوں اطراف کے دو دو کھلاڑی حصہ لیتے ہیں,1.919554555565547e-29
""""""" تو پھر اب آپ اس گفتگو کو یہیں ختم کر دیجئے ورنہ سچ مچ میری زندگی خطرے میں پڑ جائے گی """"""",4.63628829243993e-55
بیوی کا دف اولاد سے مارا جاتا ہے,4.697114534636355e-20
الف عین ، مارچ 3 ، 2007,1.0788422720903528e-17
عدم کی گرد میں نہاں ہے کاروان زندگی,4.697114534636355e-20
نئے ستارے کے آس پاس بنتے بگڑتے دن,4.697114534636355e-20
دل کی دل میں رہ جائے,2.5295286488234307e-15
آپ وہ ہو جو کوئی دشمن بھی نا ہو,2.0775130947644742e-22
جلسہ کرکے دعا ئیں دوں گی میں تو,4.697114534636355e-20
عاصم بٹ / راجندر سنگھ بیدی,2.5295286488234307e-15
ہمت بھائی سمجھ تو ہم سب کو بھی نہیں آئی جنہوں نے اتنی مغز ماری کر کے 13 صفحات بھر دیے,2.0509198587269608e-50
جیسے کہ یہ,4.106522169121895e-08
دوستوں میں ہوگئے مشہور اب نالے مرے,1.0788422720903528e-17
یہ علاقہ تاریخ عالم میں اہم حیثیت رکھتا ہے,2.0775130947644742e-22
نبیل ، فروری 21 ، 2013,2.5295286488234307e-15
"""بیل نے جواب دیا : """" گدھے بھائی آج مجھے بہت کام کرنا پڑا ۔ میں جب تھک جاتا تھا تو نوکر میری پیٹھ اور ٹانگوں پر زور زور سے لاٹھیاں مارتا ۔ میری ٹانگ میں چوٹ لگ گئی ہے ۔ خیر اپنی اپنی قسمت ہے ۔ """"""",5.865237269913585e-113
ایک مثال دیکھئے,4.106522169121895e-08
عظیم روسی مصنف,4.106522169121895e-08
تو چپ بیٹھو,4.106522169121895e-08
انیس فاروقی ، جولائی 30 ، 2009,1.0788422720903528e-17
چلو اب تم کہتی ہو تو مان ہی لیتی ہوں,9.303608385382194e-25
درجہ حرارت چھ ڈگری سینٹی گریڈ,2.5295286488234307e-15
میں اللہ سے بس یہ دعا مانگتا ہوں,4.697114534636355e-20
""""""" میں چلی گی لیکن یہی بتا دو کہ جواد کہاں غائب ہو گیا """"""",1.8918464009445433e-36
161 تا 180 از 421 لڑیوں کی نمائش,4.697114534636355e-20
وہی تکلیف جو لندن بیٹھے لوگوں کے جانثاروں کو,2.0775130947644742e-22
اللہ بخشے میڈم نور جہاں فرمایا کرتی تھیں,4.697114534636355e-20
مزید تفصیلات بشرط فرصت,1.5325003319145408e-10
دوسری خبر,1.2379419743730079e-05
اسباق تاریخ نامی یہ کتاب ایک ایک صفحے کے مختصر مضامین کا مجموعہ ہے جس میں صحابہ کے دور سے لے کر آگے کے ادوار پر,5.0526631739183935e-62
روشن ظفر ہے ان کی تقدیر کا ستارا,4.697114534636355e-20
وہ چھوڑیں آپ بھجوا دیں لالہ میں بالکل بھی انکار نہیں کروں گی,8.816647866323124e-32
عجب شیر لاطینی ایران کا ایک شہر جو صوبہ آذربائیجان شرقی میں واقع ہے,4.073652268171762e-34
در اصل یہ معاملہ میری والدہ کے ساتھ بھی پیش آیا تھا,1.919554555565547e-29
میں یہیں تھی پر مصروفیات نے آج کل پاگل کر رکھا ہے,1.919554555565547e-29
کہ مجھے صاحب نہ لکھا کیجئے,2.5295286488234307e-15
کی چھ روزہ جنگ کے دوران اسرائیل نے ویسٹ بینک اور کچھ دیگر علاقوں پر قبضہ کر لیا,1.942227296513094e-43
صدام کو میں ہیرو نہیں مانتا نہ اس کی موت کو شہادت جب تک زندہ تھا ہم اس کو برا بھلا کہہ سکتا تھا اب نہیں کیوں اب اس کا معاملہ اللہ کے ساتھ ہے اب اس کی موت پر نہ خوشی ہے نہ دکھ,5.078306192159812e-106
محمد بلال اعظم ، جنوری 18 ، 2013,4.697114534636355e-20
رضوان احمد بٹ نے لکھا,6.100363394219132e-13
اسی نقطہ نظر سے سرسید احمد خان نے آئین اکبری تزک جہانگیری اور تاریخ فیروز شاہی دوبارہ مرتب کیں,9.155542854880783e-46
علم تجوید کا مرتبہ,1.5325003319145408e-10
صرف کشمیر ہی نہیں تنہا,6.100363394219132e-13
مجھے ان سب باتوں میں ایک لفظ بھی سمجھ نہیں آیا مبارک ہو,8.816647866323124e-32
کپور صاحب نے جواب دیا,6.100363394219132e-13
شمس جتنی دور ہو گی,6.100363394219132e-13
سیدہ شگفتہ ، مئی 11 ، 2011,1.0788422720903528e-17
ویسے اگر کینیڈا جیت جائے تو اسکے لئیے ایسا ہی ہو جیسے فائنل جیت گئی,1.8918464009445433e-36
آپ اگر فوج کے خرچہ کا تناسب حکومتی آمدنی سے لگائیں تو اعداد و شمار کچھ اور ہی کہاں سنائیں گے ۔,9.74115483237776e-53
آغوش میں مسلم کے وہ دلبر نظر آئے,4.697114534636355e-20
اور آپ کے آجانے سے محفل پہ ہے رونق چھائی,9.303608385382194e-25
کیا ہی گہر ائی کا حامل کلام ہے,4.697114534636355e-20
ہم کوے کو ایسے ہی برا کہتے تھے,4.697114534636355e-20
صوتحال : بکنے کو تیار,6.100363394219132e-13
تحصیل علم کو فوائد,1.5325003319145408e-10
سو ٹینشن دیجیے,4.106522169121895e-08
شہنشاہ نے اس کے ذہن میں موجود سوچ کے مطابق فورا جواب دیا کہ,4.073652268171762e-34
بہت دیر کر دی,1.5325003319145408e-10
کوئی مسئلہ نہیں میرے بھائی,6.100363394219132e-13
ساری دل کی لگن,1.5325003319145408e-10
خاطر سے یا لحاظ سے میں مان تو گیا,2.0775130947644742e-22
د سے دلاور,4.106522169121895e-08
ارے نہیں شمشاد بھائی جی یہ ریڈیو تو باتیں بھی کرتا ہے کوئی ملے بھی تو نہ,4.132934239051387e-41
شکریہ قمر جی اسی بہانے آپ نظر تو آئے,2.0775130947644742e-22
خدا کا نام جیتے ہیں اور اپنا کام کرتے ہیں,9.303608385382194e-25
پہلی بات تو یہ کہ,6.100363394219132e-13
لفظ نفس کا اردو میں کوئی ایک متفقہ مفہوم بیان کرنا ایک اتنا ہی نازک اور مشکل کام ہے کہ جتنا اس کا کوئی انگریزی متبادل بیان کرنا,1.1616249961386989e-66
ہم جیسے کم علموں کا بھلا ہی ہوجائے گا,2.0775130947644742e-22
اور جیہ اللہ پہ امان,6.100363394219132e-13
جب بادشاہ کو معلوم ہوا تو اس نے ویلنٹائن کو گرفتار کیا اور فروری کو اسے پھانسی دے دی,9.155542854880783e-46
انہیں ہم بھول بیٹھے ہیں,6.100363394219132e-13
فخر کس چیز کا ہے ان کے تئیں,4.697114534636355e-20
حلال رزق,1.2379419743730079e-05
یاد آئیں گے سب کام دنیا کے,1.0788422720903528e-17
اے کاش پڑے ان سے کبھی آپ کو پالا,2.0775130947644742e-22
انسٹال کرنے کا طریقہ,1.5325003319145408e-10
شریعت کیوں گریباں گیر ہو ذوق تکلم کی,4.697114534636355e-20
ہاں جی اور میری کیا جرات کہ جرات مند لوگوں میں شامل ہوں,8.816647866323124e-32
بہت خوب پڑھ کر اچھا لگا,2.5295286488234307e-15
اردو محفل فورم کی برائی آپ نے کچھ زیادہ ہی نہیں کرلی,1.919554555565547e-29
تر ہوا سب خون سے روئے حسین,1.0788422720903528e-17
زیک جارحانہ موڈ کے لئے ہیلمٹ فائدہ مند ہے,2.0775130947644742e-22
کم بانگ ضلع لاطینی ویتنام کا ایک رہائشی علاقہ جو دریائے سرخ دہانہ ویتنام میں واقع ہے,4.132934239051387e-41
فرحت بہت خوب,4.106522169121895e-08
کاوش نغمہ رنگ اثر سے عاری کی عاری ہی رہی,9.303608385382194e-25
"""سب کی نمازیں صحیح ہیں چونکہ سب کے دل و دماغ میں ایک ہی خیال ہوتا ہے """" عبادت """"""",4.3278564494278774e-48
دل تاں پاگل ہے,1.5325003319145408e-10
زین از این ان سے,6.100363394219132e-13
ابھی ویسٹ انڈیز کی بیٹنگ دیکھنے کے منتظر ہیں,2.0775130947644742e-22
میری دراز میں بھی بسکٹ پڑے ہیں,1.0788422720903528e-17
بزنس کلاس کا ایک مسافر,6.100363394219132e-13
عوام حاکم,1.2379419743730079e-05
سب کی معراج نمازوں میں ہے پنہاں شاکر,4.697114534636355e-20
گل میرے نال کرو سرکار,6.100363394219132e-13
اک اور شاعر نے کچھ ایسے کہا کہ,4.697114534636355e-20
صلی اللہ علی سیدنا محمد والہ وسلم,1.0788422720903528e-17
یہاں اور بہت کچھ بھی تو ہے,1.0788422720903528e-17
یاد رکھنا تو ساغر کی اس بات کو,4.697114534636355e-20
اگر کراچی برباد ہوتا ہے تو پاکستان کا دل بند ہوتا ہے ور اگر کسی کا دل بند ہو جائے تو زندگی بھی ختم ہو جاتی ہے ۔,1.1616249961386989e-66
سارا ، ستمبر 7 ، 2008,2.5295286488234307e-15
ساس نے اپنی بہو سے کہا,2.5295286488234307e-15
اب تو کیلکولیٹر زندہ باد,6.100363394219132e-13
نبی کریم صلی اللہ علیہ وسلم کی سنت مبارکہ اور ان کے اصحاب کی سنت مبارکہ پر چلنے والے,9.155542854880783e-46
مشورہ کی اہمیت - 2،557 بار,2.5295286488234307e-15
شہسواری کا جو اس چاند کے ٹکڑے کو ہے شوق,9.303608385382194e-25
مجھ سے پوچھتے ھو کیا زندگی کے بارے میں,2.0775130947644742e-22
طارق شاہ ، منگل بوقت 5 : 00 شام,2.0775130947644742e-22
عسکری ، فروری 26 ، 2010,2.5295286488234307e-15
ہائے ری میری سادہ بہن,6.100363394219132e-13
اعجاز عبید صاحب 10,1.5325003319145408e-10
لگتا ہے آج میری خیر نہیں,2.5295286488234307e-15
تمہاری بے رخی نے لاج رکھ لی بادہ خانوں کی,9.303608385382194e-25
ی کر,1.2379419743730079e-05
گ سے بتا دیں پھر آپ,2.5295286488234307e-15
مزیدار دھاگہ ہے,4.106522169121895e-08
دوست ، فروری 3 ، 2011,2.5295286488234307e-15
عجب نہیں کہ خدا تک تری رسائی ہو,4.697114534636355e-20
موہنجودڑو کے پیمانے پر جو ضمنی تقسیم کی گئی تھی وہ تمام پیمانوں پر فیصد تک درست تھی,1.942227296513094e-43
عثمان ، مئی 5 ، 2011,2.5295286488234307e-15
ٹیگ : نیرنگ کے قلم سے ، تصاویر نیرنگ,2.0775130947644742e-22
کامی دھیان پڑھائی کی طرف ہی ہے ۔ الحمد اللہ لیکن یہ ٹینشن ہے جو ہر کوئی محسوس کرتا ہے اور میں بھی اسی سسٹم کا حصہ ہوں ۔,5.58073144920859e-69
لاجواب شراکت ۔,4.106522169121895e-08
جس عنوان کو دیکھا,1.5325003319145408e-10
مضر ہونے نہیں چاہئیں,1.5325003319145408e-10
تیز تیز اک باغ کی جانب چلا,1.0788422720903528e-17
انگلستان بمقابلہ بھارت,4.106522169121895e-08
نازنین ناز ، اگست 16 ، 2011,1.0788422720903528e-17
عورتوں کو یہ بھی حکم دیا گیا کہ اپنے محرم رشتہ داروں اور گھر کے خادموں کے سوا کسی کے سامنے بن سنور کر نہ آئیں,5.0526631739183935e-62
دوست تو خیر کوئی کس کا ہے,1.0788422720903528e-17
حسن علوی ، جولائی 25 ، 2008,1.0788422720903528e-17
کر دیا تقدیر نے باطل فسانہ شوق کا,4.697114534636355e-20
اس کائنات رنگ و بو میں صرف دو وجود ہیں,9.303608385382194e-25
